BER for polar code over BEC channel of code length 128, Total number of messages: 4
Delta:  BER:   
 0.15        0.0
0.2        0.0
0.25        0.0
0.30000000000000004        0.0
0.3500000000000001        0.0859375
0.40000000000000013        0.0
0.45000000000000007        0.20703125
0.5000000000000001        0.37109375
